Name,Size,Type,Alignment,Habitat,MainHabitat,OtherHabitat,Treasure,AC,HP,Initiative,Walk,Burrow,Climb,Fly,Hover,Swim,STR,INT,DEX,WIS,CON,CHA,STR_Save,INT_Save,DEX_Save,WIS_Save,CON_Save,CHA_Save,Proficient,Expertise,Vulnerabilities,Slashing,ImmunitiesConditions,ImmunitiesDamage,Blindsight,Darkvision,Truesight,Tremorsense,PassivePerception,Languages,CR,XP,PB,Traits,NumberOfLegendaryResistance,NumberOfAtk,Atk1Type,Atk1Mod,Atk1Range,Atk1RangeShort,Atk1Damage,Atk1DamageType,Atk2Type,Atk2Mod,Atk2Range,Atk2RangeShort,Atk2Damage,Atk2DamageType,Atk3Type,Atk3Mod,Atk3Range,Atk3RangeShort,Atk3Damage,Atk3DamageType,Atk4Type,Atk4Mod,Atk4Range,Atk4RangeShort,Atk4Damage,Atk4DamageType,SaveDC,SavingThrow,ActionNotes,Ability,SpellSaveDC,SpellSavingThrows,SpellAttack,AtWill,ThreePerDay,TwoPerDay,OnePerDay,BonusAction,Reaction,Amount,LegendaryActionSaveDC,LegendaryActionSavingThrow,LegendaryActions,Lair,xp,LegendaryResistance,LegendaryActions,LairSaveDC,LairSavingThrows,Other
Helmed Horror,Medium,Construct,Neutral,Any,Any,,Armaments,20,67,3,30,,,30,30,,4,0,1,0,3,0,4,0,1,0,3,0,,Perception,,,"Blinded, Charmed, Deafened, Exhaustion, Frightened, Paralyzed, Petrified, Poisoned, Stunned","Necrotic, Poison",60,,,,14,Understands Common plus one other language,4,"1,100",2,"Magic Resistance, Spell Immunity",,2,Melee,6,5,,13,"Slashing, Force",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hezrou,Large,Fiend (Demon),Chaotic Evil,Planar (Abyss),Planar,Abyss,Any,18,157,6,30,,,,,,4,-3,3,1,5,1,7,-3,3,4,8,1,,,,"Cold, Fire, Lightning",Poisoned,Poison,,120,,,11,"Abyssal, Telepathy",8,"3,900",3,"Demonic Restoration, Magic Resistance, Stench",,3,Melee,7,5,,15,"Slashing, Poison",,,,,,,,,,,,,,,,,,,16,Constitution,,,,,,,,,,Jump 30ft only using 10ft,,,,,,,,,,,,
Hill Giant,Huge,Giant,Chaotic Evil,Hill,Hill,,Armaments,13,105,2,40,,,,,,5,-3,-1,-1,4,-2,5,-3,-1,-1,4,-2,Perception,,,,,,,,,,12,Giant,5,"1,800",3,,,2,Melee,8,10,,18,Bludgeoning,Ranged,8,60/240,60,16,Bludgeoning,,,,,,,,,,,,,,,"Atk 1 on hit prone, Atk 2 on hit poisoned",,,,,,,,,,,,,,,,,,,,,
Hippogriff,Large,Monstrosity,Unaligned,"Grassland, Hill, Mountain","Grassland, Hill, Mountain",,None,11,26,1,40,,,60,,,3,-4,1,1,1,-1,3,-4,1,1,1,-1,,Perception,,,,,,,,,15,None,1,200,2,Flyby,,2,Melee,5,5,,7,Slashing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hippopotamus,Large,Beast,Unaligned,"Forest, Grassland, Swamp","Forest, Grassland, Swamp",,None,14,82,-2,30,,,,,30,5,-4,-2,1,2,-3,7,-4,-2,1,2,-3,Perception,,,,,,,,,,13,None,4,"1,100",2,Hold Breath,,2,Melee,7,5,,16,Piercing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hobgoblin Captain,Medium,Fey (Goblinoid),Lawful Evil,"Desert, Forest, Grassland, Hill, Mountain, Planar (Acheron), Underdark","Desert, Forest, Grassland, Hill, Mountain, Planar, Underdark",Acheron,"Armaments, Individual",17,58,4,30,,,,,,2,1,2,0,2,1,2,1,2,0,2,1,,,,,,,,60,,,10,"Common, Goblin",3,700,2,Aura of Authority,,2,Melee,4,5,,12,"Slashing, Poison",Ranged,4,150/600,150,11,"Piercing, Poison",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hobgoblin Warlord,Medium,Fey (Goblinoid),Lawful Evil,"Desert, Forest, Grassland, Hill, Mountain, Planar (Acheron), Underdark","Desert, Forest, Grassland, Hill, Mountain, Planar, Underdark",Acheron,"Armaments, Individual",20,112,5,30,,,,,,3,2,2,0,3,2,3,5,5,3,3,5,,,,,,,,60,,,10,"Common, Goblin",6,"2,300",3,Aura of Authority,,3,Melee,6,5,,11,Piercing,Ranged,6,30/120,30,11,Piercing,Melee,6,5,,12,Slashing,,,,,,,,,Akt 1 and Akt 2 reduces speed by 10ft,,,,,,,,,,Parry hit by melee +3 AC,,,,,,,,,,,
Hobgoblin Warrior,Medium,Fey (Goblinoid),Lawful Evil,"Desert, Forest, Grassland, Hill, Mountain, Planar (Acheron), Underdark","Desert, Forest, Grassland, Hill, Mountain, Planar, Underdark",Acheron,"Armaments, Individual",18,11,3,30,,,,,,1,0,1,0,1,-1,1,0,1,0,1,-1,,,,,,,,60,,,10,"Common, Goblin",1/2,100,2,Pack Tactics,,1,Melee,3,5,,12,Slashing,Ranged,3,150/600,150,12,"Piercing, Poison",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Homunculus,Tiny,Construct,Neutral,Any,Any,,None,13,4,2,20,,,40,,,-3,0,2,0,2,-2,-3,0,2,2,2,0,,,,,"Charmed, Poisoned",Poison,,60,,,10,Understands Common plus one other language,0,10,2,Telepathic Bond,,1,Melee,4,5,,1,Piercing,,,,,,,,,,,,,,,,,,,12,"Constitution, Dexterity",Akt 1 on hit and fail poisoned fail by 5 or more and unconscious,,,,,,,,,,,,,,,,,,,,,
Hook Horror,Large,Monstrosity,Neutral,Underdark,Underdark,,None,15,75,0,30,,30,,,,4,-2,0,1,2,-2,4,-2,0,1,4,-2,,Perception,,,,,60,120,,,15,Hook Horror,3,700,2,,,2,Melee,6,10,,11,Piercing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Horned Devil,Large,Fiend (Devil),Lawful Evil,Planar (Nine Hells),Planar,Nine Hells,Relics,18,199,7,30,,,60,,,6,1,3,3,5,4,10,1,7,7,5,8,,,,Cold,Poisoned,"Fire, Poison",,150,,,13,"Infernal, Telepathy",11,"7,200",4,"Diabolical Restoration, Magic Resistance",,3,Melee,10,10,,24,"Piercing, Fire",Ranged,8,150,150,26,Fire damage,,,,,,,,,,,,,17,Dexterity,Within 10ft on fail 10 necrotic damage 10 damage every round,,,,,,,,,,,,,,,,,,,,,
Hunter Shark,Large,Beast,Unaligned,Underwater,Underwater,,None,12,45,2,5,,,,,40,4,-5,2,0,2,-3,4,-5,2,0,2,-3,Perception,,,,,,60,,,,12,None,2,450,2,Water Breathing,,1,Melee,6,5,,14,Piercing,,,,,,,,,,,,,,,,,,,,,Akt. has adv. if the target is already hurt,,,,,,,,,,,,,,,,,,,,,
Hydra,Huge,Monstrosity,Unaligned,"Coastal, Swamp","Coastal, Swamp",,Any,15,184,4,40,,,,,40,5,-4,1,0,5,-2,5,-4,1,0,5,-2,,Perception,,,"Blinded, Charmed, Deafened, Frightened, Stunned, Unconscious",,,60,,,16,None,8,"3,900",3,"Hold Breath, Multiple Heads, Creative Heads",,1,Melee,8,10,,10,Piercing,,,,,,,,,,,,,,,,,,,,,Atk 1 it gets another attack for every head,,,,,,,,,,,,,,,,,,,,,
Hyena,Medium,Beast,Unaligned,"Desert, Forest, Grassland, Hill","Desert, Forest, Grassland, Hill",,None,11,5,1,50,,,,,,0,-4,1,1,1,-3,0,-4,1,1,1,-3,Perception,,,,,,,60,,,13,None,0,10,2,Pack Tactics,,1,Melee,2,5,,3,Piercing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ice Devil,Large,Fiend (Devil),Lawful Evil,Planar (Nine Hells),Planar,Nine Hells,Arcana,18,228,7,40,,,,,,5,4,2,2,4,4,5,4,7,7,9,9,"Insight, Perception, Persuasion",,,,Poisoned,"Cold, Fire, Poison",120,,,,17,"Infernal, Telepathy",14,"11,500",5,"Diabolical Restoration, Magic Resistance",,3,Melee,10,5,,24,"Piercing, Cold",Ranged,10,30/120,30,24,"Piercing, Cold",Melee,10,10,,33,"Bludgeoning, Cold",,,,,,,17,Dexterity,"Akt 1 and Akt 2 on hit target can't take a bonus action or reaction speed -10 and only move or take an action, Ice Wall recharge on 6 cast Wall of Ice",,,,,,,,,,,,,,,,,,,,,
Ice Mephit,Small,Elemental,Neutral Evil,"Arctic, Planar (Elemental Planes)","Arctic, Planar",Elemental Planes,None,11,21,1,30,,,30,,,-2,-1,1,0,0,1,-2,-1,1,0,0,1,"Perception, Stealth",,Fire,,"Exhaustion, Poisoned","Cold, Poison",,60,,,12,Primordial (Aquan and Auran),1/2,100,2,Death Burst,,1,Melee,3,5,,5,"Slashing, Cold",,,,,,,,,,,,,,,,,,,10,Constitution,"Frost Breath recharges on 6 15ft cone on fail 7 cold damage, Fod Cloud 1/day fod cloud",,,,,,,,,,,,,,,,,,,,,
Imp,Tiny,Fiend (Devil),Lawful Evil,Any,Any,,None,13,21,3,20,,,40,,,-2,0,3,1,1,2,-2,0,3,1,1,2,"Deception, Insight, Stealth",,,Cold,,Fire,,120,,,11,"Common, Infernal",1,200,2,"Devil's Sight, Magic Resistance",,1,Melee,5,5,,13,"Piercing,Poison",,,,,,,,,,,,,,,,,,,,,"Can go invisible, Can shapeshift into a rat raven or spider",,,,,,,,,,,,,,,,,,,,,
Incubus,Medium,Fiend,Neutral Evil,"Planar (Lower Planes), Urban","Planar, Urban",Lower Planes,Any,15,66,3,30,,,60,,,-1,2,3,1,1,5,-1,2,3,1,1,5,,"Deception, Insight, Perception, Persuasion, Stealth",,"Cold, Fire, Poison, Psychic",,,,60,,,15,"Abyssal, Common, Infernal, Telepathy",4,"1,100",2,Succubus Form,,2,Melee,7,5,,15,Psychic,,,,,,,,,,,,,,,,,,,15,Wisdom,Akt 1 On hit the target is cursed and can't get the benefits of a short rest,Charisma,15,Wisdom,7,"Disguise Self, Etherealness",,,"Dream, Hypnotic Pattern",Nightmare reaches on 6 within 60ft on fail if the target has less than 21 hp they are unconscious it not 18 Psychic damage,,,,,,,,,,,,
Intellect Devourer,Tiny,Aberration,Lawful Evil,Underdark,Underdark,,None,12,28,2,40,,,,,,-2,2,2,0,1,0,-2,2,2,0,1,0,"Perception, Stealth",,,Psychic,,,60,,,,12,"Understands Deep Speech, Telepathy",2,450,2,Detect Intelligence,,2,Melee,4,5,,7,Slashing,,,,,,,,,,,,,,,,,,,12,Intelligence,"Devour Intellect 11 psychic damage and stunned, Steal Body target with 10 or fewer hp and incapacitated gets taken over",,,,,,,,,,,,,,,,,,,,,
Invisible Stalker,Large,Elemental,Neutral,Urban,Urban,,None,14,97,7,50,,,50,50,,3,0,4,2,2,0,3,0,4,2,2,0,,"Perception, Stealth",,"Bludgeoning, Piercing, Slashing","Exhaustion, Grappled, Paralyzed, Petrified, Poisoned, Prone, Restrained, Unconscious",Poison,,60,,,18,"Common, Primordial (Auran)",6,"2,300",3,"Air Form, Invisibility",,3,Melee,7,5,,11,Force,,,,,,,,,,,,,,,,,,,14,Constitution,Vortex on fail 7 thunder damage grappled cannot cast spells with verbal component and take 7 thunder damage every round,,,,,,,,,,,,,,,,,,,,,
Iron Golem,Large,Construct,Unaligned,Any,Any,,Any,20,252,9,30,,,,,,7,-4,-1,0,5,-5,7,-4,-1,0,5,-5,,,,,"Charmed, Exhaustion, Frightened, Paralyzed, Petrified, Poisoned","Fire, Poison, Psychic",,120,,,10,Understands Common plus two other language,16,"15,000",5,"Fire Absorption, Immutable Form, Magic Resistance",,3,Melee,12,10,,30,"Slashing, Fire",Ranged,10,120,120,36,Fire,,,,,,,,,,,,,18,"Constitution, Dexterity",Poison Breath recharges on 6 on 60ft cone on fail 55 poison,,,,,,,,,,,,,,,,,,,,,
Jackal,Small,Beast,Unaligned,"Desert, Grassland","Desert, Grassland",,None,12,3,2,40,,,,,,-1,-4,2,1,0,-2,-1,-4,2,1,0,-2,Stealth,Perception,,,,,,90,,,15,None,0,10,2,,,1,Melee,1,5,,1,Piercing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jackalwere,Small,Fiend,Chaotic Evil,"Desert, Grassland","Desert, Grassland",,Implements,12,18,2,40,,,,,,0,1,2,0,1,0,0,1,2,0,1,0,Stealth,"Deception, Perception",,,,,,90,,,14,Common,1/2,100,2,Pack Tactics,,2,Melee,4,5,,5,Piercing,Melee,4,5,,4,Bludgeoning,,,,,,,,,,,,,10,Wisdom,Sleep Gaze recharges 5-6 within 30ft on fail is unconscious,,,,,,,,,Shape-shift,,,,,,,,,,,,
Juvenile Shadow Dragon,Medium,Dragon,Chaotic Evil,"Planar (Shadowfell), Underdark","Planar, Underdark",Shadowfell,Any,15,45,4,30,,30,60,,,3,1,2,0,3,2,3,1,4,0,3,2,,"Perception, Stealth",,,,Neurotic,10,60,,,14,"Common, Draconic",4,"1,100",2,"Living Shadow, Sunlight Sensitivity",,2,Melee,5,10,,10,"Slashing, Necrotic",,,,,,,,,,,,,,,,,,,13,Dexterity,Shadow Breath recharges 5-6 30ft coone 17 Necrotic if reduces a humanoid to 0 a shadow rises from its corpse,,,,,,,,,Take the hide action in dim light or darkness,,,,,,,,,,,,
Kenku,Medium,Monstrosity,Neutral,"Forest, Planar (Shadowfell), Urban","Forest, Planar, Urban",Shadowfell,"Implements, Individual",13,13,3,30,,,,,,0,0,3,0,0,0,0,0,3,0,0,0,"Perception, Stealth",Deception,,,,,,60,,,12,"Common, Primordial (Auran)",1/4,50,2,Mimicry,,1,Melee,5,5,,6,Necrotic,Ranged,5,60,60,6,Necrotic,,,,,,,,,,,,,10,Dexterity,,,,,,,,,,Eldritch Lantern recharges on 4-6 cast Faerie Fire,,,,,,,,,,,,
Killer Whale,Huge,Beast,Unaligned,Underwater,Underwater,,None,12,90,2,5,,,,,60,4,-4,2,1,1,-2,4,-4,2,1,1,-2,"Perception, Stealth",,,,,,120,,,,13,None,3,700,2,Hold Breath,,1,Melee,6,5,,21,Piercing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Knight,Medium or Small,Humanoid,Neutral,Any,Any,,"Armaments, Individual",18,52,0,30,,,,,,3,0,0,0,2,2,3,0,0,2,4,2,,,,,Frightened,,,,,,10,Common one other language,3,700,2,,,2,Melee,5,5,,14,"Slashing,Radiant",Ranged,5,5,5,14,"Piercing, Radiant",,,,,,,,,,,,,,,,,,,,,,,,,Parry hit by  melee +2 to AC,,,,,,,,,,,
Kobold Warrior,Small,Dragon,Neutral,"Arctic, Coastal, Desert, Forest, Hill, Mountain, Swamp, Underdark, Urban","Arctic, Coastal, Desert, Forest, Hill, Mountain, Swamp, Underdark, Urban",,Armaments,14,7,2,30,,,,,,-2,-1,2,-2,-1,-1,-2,-1,2,-2,-1,-1,,,,,,,,60,,,8,"Common, Draconic",1/8,25,2,"Pack Tactics, Sunlight Sensitivity",,1,Melee,4,5,,4,Piercing,Ranged,4,20/60,20,4,Piercing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kraken,Gargantuan,Monstrosity (Titan),Chaotic Evil,Underwater,Underwater,,Any,18,481,14,30,,,,,120,10,6,0,4,8,5,17,6,7,11,15,5,,,,,"Frightened, Grappled, Paralyzed, Restrained","Cold, Lightning",,,120,,21,"Understands Abyssal, Celestial, Infernal, Primordial, Telepathy",23,"50,000",7,"Amphibious, Siege Monster",4,3,Melee,17,30,,24,,,,,,,,,,,,,,,,,,,,25,Dexterity,"Fling throws grappled target 60ft on fail the thrown target and each creature in the throne space 18 bludgeoning, Lightning Strike within 120ft on fail 33 lightning damage, Swallow a grappled target on fail 23 piercing damage not grappled but restrained  total cover and 24 Acid damage on every round",,,,,,,,,,,3,23,Constitution,"Storm Bolt lightning strike, Toxic Ink within 15ft on fail blinded and poisoned and move up to half its speed",Yes,"62,000",5,4,,,"Ocean Tyrant every creature in 1 mile is charmed, Sea and Storm cast Control Weather"
Kuo-toa,Medium,Aberration,Neutral Evil,"Coastal, Underdark","Coastal, Underdark",,Relics,13,18,0,30,,,,,30,1,0,0,0,0,-1,1,0,0,0,0,-1,,Perception,,,,,,120,30,,14,Undercommon,1/4,50,2,"Amphibious, Sunlight Sensitivity",,1,Melee,3,5,,5,Piercing,Ranged,3,20/60,20,5,Piercing,,,,,,,,,,,,,10,"Dexterity, Strength",Sticky Net 15ft range restrained on fail saved,,,,,,,,,,Grappled Condition on missed Akt and failed save DC 11,,,,,,,,,,,
Kuo-toa Archpriest,Medium,Aberration,Neutral Evil,"Coastal, Underdark","Coastal, Underdark",,Relics,13,105,2,30,,,,,30,3,1,2,3,3,2,3,1,2,3,3,2,Religion,Perception,,,,,,120,30,,19,Undercommon,6,"2,300",3,"Amphibious, Sunlight Sensitivity",,3,Melee,6,5,,20,Lighting,Ranged,6,120,120,20,Lightning,,,,,,,,,,,,,,,,Wisdom,14,"Constitution, Wisdom",6,"Detect Magic, Thaumaturgy",,Shield of Faith,"Destructive Wave, Divination, Hold Monster (level 6), Scrying, Tongues",Cast Shield of Faith,,,,,,,,,,,,
Kuo-toa Monitor,Medium,Aberration,Neutral Evil,"Coastal, Underdark","Coastal, Underdark",,Relics,13,65,0,30,,,,,30,3,1,0,2,2,0,0,1,0,2,2,0,Religion,Perception,,,,,,120,30,,16,Undercommon,3,700,2,"Amphibious, Sunlight Sensitivity",,2,Melee,5,10,,13,"Slashing, Lighting",,,,,,,,,,,,,,,,,,,,,Akt 1 on a hit the target can't make opportunity attacks,,,,,,,,,,,,,,,,,,,,,
Kuo-toa Whip,Medium,Aberration,Neutral Evil,"Coastal, Underdark","Coastal, Underdark",,Relics,11,45,0,30,,,,,30,2,1,0,2,2,0,2,1,0,2,2,0,Religion,Perception,,,,,,120,30,,16,Undercommon,1,200,2,"Amphibious, Sunlight Sensitivity",,1,Melee,4,10,,9,Piercing,Ranged,4,60,60,9,Acid,,,,,,,,,,,,,,,Akt 1 on a hit target is grappled,Wisdom,,,,,,Shield of Faith,,Cast Shield of Faith,,,,,,,,,,,,
Lacedon Ghoul,Medium,Undead,Chaotic Evil,"Swamp, Underdark, Urban","Swamp, Underdark, Urban",,Any,12,22,2,30,,,,,30,1,-2,2,0,0,-2,1,-2,2,0,0,-2,,,,Cold,"Charmed, Exhaustion, Poisoned",Poison,,60,,,10,Common,1,200,2,,,2,Melee,4,5,,9,Cold,Melee,4,5,,4,Slashing,,,,,,,,,,,,,10,Constitution,"Akt 1 on hit speed decrease by 5, Akt 2 on hit and fail and paralyzed",,,,,,,,,Watery Rush while underwater move 1/2 without opportunity,,,,,,,,,,,,
Lamia,Large,Fiend,Chaotic Evil,Desert,Desert,,Arcana,13,97,1,40,,,,,,3,2,1,2,2,3,3,2,1,2,2,3,Insight,"Deception, Stealth",,,,,,60,,,12,"Abyssal, Common",4,"1,100",2,,,2,Melee,5,5,,14,"Slashing, Psychic",,,,,,,,,,,,,,,,,,,13,Wisdom,Within 5ft on fail 13 psychic damage and cursed charmed and poisoned,Charisma,13,Wisdom,5,"Disguise Self, Minor Illusion",,,"Geas, Major Image, Scrying",Jump 30ft spending 10ft movement,,,,,,,,,,,,
Larva,Medium,Fiend,Neutral Evil,Planar (Lower Planes),Planar,Lower Planes,None,9,9,-2,20,,,,,,-1,-2,-1,0,0,-4,-1,-2,-1,0,0,-4,,,,,,,,60,,,10,Understands Common and another language,0,10,2,,,1,Melee,1,5,,1,Necrotic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lemure,Medium,Fiend (Devil),Lawful Evil,Planar (Nine Hells),Planar,Nine Hells,None,9,9,-3,20,,,,,,0,-5,-3,0,0,-4,0,-5,-3,0,0,-4,,,,Cold,"Charmed, Frightened, Poisoned","Fire, Poison",,120,,,10,Understands Infernal,0,10,2,Hellish Restoration,,1,Melee,2,5,,2,Poison,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lich,Medium,Undead (Wizard),Neutral Evil,Any,Any,,Arcana,20,315,17,30,,,,,,0,5,3,2,9,3,3,12,10,9,10,3,"History, Insight, Perception",Arcana,,"Cold, Lightning","Charmed, Exhaustion, Frightened, Paralyzed, Poisoned","Necrotic, Poison",,,120,,19,All,21,"33,000",7,Spirit Jar,4,3,Melee,12,5,,31,Force,Ranged,12,120,120,31,Force,Mele,12,5,,15,Cold,,,,,,,,,Akt 2 on hit paralyzed,Intelligence,20,"Constitution, Dexterity, Wisdom",12,"Counterspell, Detect Magic, Detect Thoughts, Dispel Magic, Fear, Fireball(level 5), Invisibility, Lightning Bolt(level 5), Mage Hand, Prestidigitation, Shield",,"Animate Dead, Dimension Door, Plane Shift","Chain Lightning, Finger of Death, Power Word Kill, Scrying",,Protective Magic cast counterspell or shield,3,20,Constitution,"Deathly Teleport teleport 60ft within 10ft 11 Necrotic damage, Disrupt Life within 20ft on fail 21 Necrotic, Frightening Gaze cast fear",Yes,"41,000",5,4,,,Cast Clairvoyance
Lion,Large,Beast,Unaligned,"Desert, Grassland, Hill, Mountain","Desert, Grassland, Hill, Mountain",,None,12,22,2,50,,,,,,3,-4,2,1,0,-1,3,-4,2,1,0,-1,"Perception, Stealth",,,,,,,60,,,13,None,1,200,2,"Pact Tactics, Running Leap",,2,Melee,5,5,,7,Slashing,,,,,,,,,,,,,,,,,,,11,Wisdom,Wis. save to cause fear,,,,,,,,,,,,,,,,,,,,,
Lizard,Tiny,Beast,Unaligned,"Coastal, Desert, Forest, Swamp, Underdark","Coastal, Desert, Forest, Swamp, Underdark",,None,10,2,0,20,,20,,,,-4,-5,0,-1,0,-4,-4,-5,0,-1,0,-4,,,,,,,,30,,,9,None,0,10,2,Spider Climb,,1,Melee,2,5,,1,Piercing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lizardfolk Geomancer,Medium,Elemental,Neutral,"Forest, Swamp","Forest, Swamp",,Individual,13,33,0,30,20,,,,30,2,0,0,2,1,-1,2,0,0,2,1,-1,"Nature, Perception",Stealth,,,,,,,,,14,"Draconic, Primordial (Terran)",2,450,2,,,2,Melee,4,5,,9,Bludgeoning,Ranged,4,60,60,9,Bludgeoning,,,,,,,,,,,,,12,Constitution,Hail of Stone recharges on 5-6 within 20ft radius and 40ft high cylinder on fail 15 bludgeoning and prone,Wisdom,12,,4,Elementalism,,,"Meld into Stone, Speak with Plants, Spike Growth",,,,,,,,,,,,,
Lizardfolk Sovereign,Medium,Elemental,Neutral,Swamp,Swamp,,Individual,15,78,1,30,20,,,,30,3,0,1,0,2,2,3,0,1,2,4,2,,"Perception, Stealth",,,Frightened,,,60,,,14,"Draconic, Primordial (Terran)",4,"1,100",2,,,2,Melee,5,5,,8,Piercing,Melee,5,5,,10,Bludgeoning,,,,,,,,,,,,,,,"Atk 1 on hit gain temp hp based on damage, Ark 2 on hit prone",,,,,,,,,Charge use the move action,,,,,,,,,,,,
Mage,Medium or Small,Humanoid (Wizard),Neutral,Any,Any,,"Arcana, Individual",15,81,2,30,,,,,,-1,3,2,1,0,0,-1,3,2,1,0,0,"Arcana, History, Perception",,,,,,,,,,14,Common plus three other languages,6,"2,300",3,,,3,Melee,6,5,,16,Force,Ranged,6,120,120,16,Force,,,,,,,,,,,,,,,,Intelligence,14,"Constitution, Dexterity",6,"Detect Magic, Light, Mage Armor, Mage Hand, Prestidigitation","Counter Spell, Misty Step, Shield","Fireball (Level 4), Invisibility","Cone of Cold, Fly",Misty Step cast misty step,Protective Magic cast counterspell or shield,,,,,,,,,,,
Mage Apprentice,Medium or Small,Humanoid (Wizard),Neutral,Any,Any,,"Arcana, Individual",15,49,2,30,,,,,,-1,3,2,1,1,0,-1,5,2,3,1,0,"Arcana, Perception",,,,,,,,,,13,Common plus one other language,2,450,2,,,1,Melee,5,5,,14,Force,Ranged,5,120,120,14,Force,,,,,,,,,,,,,,,,Intelligence,13,"Constitution, Dexterity",5,"Mage Hand, Prestidigitation",,,"Disguise Self, Ice Knife, Mage Armor, Thunderwave",,,,,,,,,,,,,
Magma Mephit,Small,Elemental,Neutral Evil,Planar (Elemental Planes),Planar,Elemental Planes,None,11,18,1,30,,,30,,,-1,-2,1,0,1,0,-1,-2,1,0,1,0,Stealth,,Cold,,"Exhaustion, Poisoned","Fire, Poison",,60,,,10,"Primordial (Ignan, Terran)",1/2,100,2,Death Burst,,1,Melee,3,5,,6,"Slashing, Fire",,,,,,,,,,,,,,,,,,,11,Dexterity,Fire Breath recharges on 6 15ft cone on fail 7 fire damage,,,,,,,,,,,,,,,,,,,,,
Magmin,Small,Elemental,Chaotic Neutral,Planar (Elemental Plane of Fire),Planar,Elemental Plane of Fire,None,14,13,2,30,,,,,,-2,-1,2,0,1,0,-2,-1,2,0,1,0,,,,,,Fire,,60,,,10,Primordial (Ignan),1/2,100,2,Death Burst,,1,Melee,4,5,,7,Fire,,,,,,,,,,,,,,,,,,,11,Dexterity,Atk 1 on hit target starts burning,,,,,,,,,Ignited Illumination can make themselves ablaze or not sheds 10ft bright light and 10ft dim light,,,,,,,,,,,,
Mammoth,Huge,Beast,Unaligned,Arctic,Arctic,,None,13,126,2,50,,,,,,7,-4,-1,0,5,-2,10,-4,-1,0,8,-2,,,,,,,,,,,10,None,6,"2,300",3,,,2,Melee,10,10,,18,Piercing,,,,,,,,,,,,,,,,,,,,,Akt. gives the prone condition,,,,,,,,,DC 18 dex save prone condition and 29 damage,,,,,,,,,,,,
Manes,Small,Fiend (Demon),Chaotic Evil,Planar (Abyss),Planar,Abyss,None,9,9,-1,20,,,,,,0,-4,-1,-1,1,-3,0,-4,-1,-1,1,-3,,,,"Cold, Fire, Lightning","Charmed, Frightened, Poisoned",Poison,,60,,,9,Understands Abyssal,1/8,25,2,,,1,Melee,2,5,,5,Slashing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Manes Vaporspawn,Medium,Fiend (Demon),Chaotic Evil,Planar (Abyss),Planar,Abyss,None,13,19,1,30,,,,,,2,-3,1,-1,2,-4,2,-3,1,-1,2,-4,,,,"Cold, Fire, Lightning","Charmed, Exhaustion, Frightened, Grappled, Poisoned, Restrained",Poison,,60,,,9,Understands Abyssal,1,200,2,"Contortionist, Sickening Vapors",,1,Melee,4,5,,10,"Slashing, Necrotic",,,,,,,,,,,,,,,,,,,12,Constitution,,,,,,,,,,Can take the hide action in dim light or darkness,,,,,,,,,,,,
Manticore,Large,Monstrosity,Lawful Evil,"Arctic, Coastal, Grassland, Hill, Mountain","Arctic, Coastal, Grassland, Hill, Mountain",,Any,14,68,3,30,,,50,,,3,-2,3,1,3,-1,3,-2,3,1,3,-1,,,,,,,,60,,,11,Common,3,700,2,,,3,Melee,5,5,,7,Slashing,Ranged,5,100/200,100,7,Piercing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marid,Large,Elemental (Genie),Chaotic Neutral,"Coastal, Planar (Elemental Plane of Water), Underwater","Coastal, Planar, Underwater",Elemental Plane of Water,Relics,17,229,5,30,,,60,,90,6,4,1,3,8,4,6,4,5,3,8,8,,,,"Acid, Cold, Lightning",,,30ft,120,,,13,Primordial (Aquan),11,"7,200",4,"Amphibious, Elemental Restoration, Wishes",,3,Melee,10,15,,24,"Slashing, Cold",,,,,,,,,,,,,,,,,,,18,Dexterity,Water Jet 60ft long 10ft wide line on fail 31 cold damage pushed 20ft and prone,Charisma,16,,8,"Create or Destroy Water, Detect Evil and Good, Detect Magic, Purify Food and Drink",,,"Control Water, Gaseous Form, Invisibility, Plane Shift, Tongues",Misty Viel recharges on 5-6 cast Fog Cloud,,,,,,,,,,,,
